                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.7578,                 1.9262,                   1.83,                0.69511,                      1,                0.81786,                 0.3501,                 1.8063,                  1.818,                 2.1088,              0.0019274,              0.0019274,              0.0019274
                     69,                 1.6663,                 1.8075,                 1.7178,                0.52324,                0.88366,                0.64897,                0.26085,                 1.8576,                   1.73,                 2.1432,              0.0019263,              0.0019263,              0.0019263
                     70,                 1.6742,                 1.7691,                 1.7404,                0.44889,                      1,                0.65722,                0.29911,                  1.671,                 2.0846,                  1.903,              0.0019252,              0.0019252,              0.0019252
                     71,                 1.6243,                 1.8269,                 1.7073,                0.53371,                    0.8,                0.64897,                0.28249,                 1.7106,                 1.9945,                 1.8385,              0.0019241,              0.0019241,              0.0019241
                     72,                 1.7645,                 1.7829,                  1.826,                0.54466,                    0.8,                0.70071,                0.34257,                 1.7088,                 1.9372,                 1.8301,               0.001923,               0.001923,               0.001923
                     73,                 1.6241,                 2.0001,                 1.7405,                 0.9063,                    0.6,                0.78389,                0.29173,                  1.897,                 1.9326,                 1.9227,              0.0019219,              0.0019219,              0.0019219
                     74,                 1.6763,                 1.8041,                 1.7291,                0.89982,                    0.6,                0.71092,                0.24346,                 2.2891,                 1.8636,                 2.3072,              0.0019208,              0.0019208,              0.0019208
                     75,                 1.7275,                 1.8844,                 1.8126,                      1,                0.57577,                0.69024,                 0.2562,                 2.1776,                 1.7165,                 2.2986,              0.0019197,              0.0019197,              0.0019197
                     76,                 1.7007,                 1.7993,                 1.7561,                      1,                0.57177,                0.67944,                0.26857,                  2.018,                 1.8875,                 2.2883,              0.0019186,              0.0019186,              0.0019186
                     77,                  1.615,                 1.6804,                 1.6686,                0.58652,                    0.6,                0.54905,                0.23589,                  2.074,                 2.0745,                 2.3487,              0.0019175,              0.0019175,              0.0019175
